NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:nanovllm.model_prefill,PushPop,2648191,2648191,2,2,2048,1024.0,1024.0,1024,1024,0.0,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
:nanovllm.run_model_decode,PushPop,2648191,2648191,46,910,8465508,9302.8,7518.0,5598,15708,2934.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
:nanovllm.run_model_decode,PushPop,2648191,2648191,46,368,2167414,5889.7,5902.5,5502,6527,242.6,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)"
:nanovllm.run_model_decode,PushPop,2648191,2648191,31,248,1736199,7000.8,7006.0,6654,8062,171.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
:nanovllm.run_model_decode,PushPop,2648191,2648191,46,1022,1253509,1226.5,1248.0,1088,1311,59.4,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0
:nanovllm.run_model_decode,PushPop,2648191,2648191,15,240,1146914,4778.8,4751.0,3263,6431,1418.1,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
:nanovllm.run_model_decode,PushPop,2648191,2648191,46,736,1049400,1425.8,1504.0,1183,1663,144.7,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_0
:nanovllm.run_model_decode,PushPop,2648191,2648191,46,368,995523,2705.2,2719.0,2655,2752,30.8,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)16, (int)1, (bool)1>(flash::Flash_fwd_params)"
:nanovllm.run_model_decode,PushPop,2648191,2648191,15,120,916163,7634.7,7614.0,7390,8542,159.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
:nanovllm.run_model_decode,PushPop,2648191,2648191,31,496,624100,1258.3,1248.0,1215,1280,16.0,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0
:nanovllm.run_model_decode,PushPop,2648191,2648191,46,368,424493,1153.5,1215.0,992,1248,90.0,triton_poi_fused_mul_silu_split_0
:nanovllm.run_model_decode,PushPop,2648191,2648191,46,368,398426,1082.7,1088.0,1055,1120,13.6,store_kvcache_kernel
:nanovllm.run_model_decode,PushPop,2648191,2648191,31,248,319179,1287.0,1280.0,1247,1312,14.4,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
:nanovllm.run_model_decode,PushPop,2648191,2648191,46,46,100420,2183.0,2303.0,1887,2368,195.2,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
:nanovllm.run_model_prefill,PushPop,2648191,2648191,1,24,2111475,87978.1,100487.0,36119,127744,38781.8,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
:nanovllm.run_model_prefill,PushPop,2648191,2648191,1,8,1986930,248366.3,248514.5,247779,248834,443.3,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,24,1124104,46837.7,3951.0,3871,140733,62044.1,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(flash::Flash_fwd_params)"
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,24,610694,25445.6,2047.5,1375,75245,34310.1,triton_poi_fused_mul_silu_split_0
:nanovllm.run_model_prefill,PushPop,2648191,2648191,2,48,551125,11481.8,11565.5,5087,20763,5293.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params)
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,48,232743,4848.8,1839.5,1535,12733,4535.4,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,51,217547,4265.6,1728.0,1376,14301,4083.0,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,48,158492,3301.9,1664.0,1535,8478,2505.3,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_0
:nanovllm.run_model_prefill,PushPop,2648191,2648191,1,8,95465,11933.1,11949.0,11805,12061,91.9,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_tn_align8>(T1::Params)
:nanovllm.run_model_prefill,PushPop,2648191,2648191,2,40,64689,1617.2,1599.0,1407,1920,158.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,3,42773,14257.7,13244.0,13181,16348,1810.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
:nanovllm.run_model_prefill,PushPop,2648191,2648191,1,8,32695,4086.9,4079.0,3807,4447,222.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(T1::Params)
:nanovllm.run_model_prefill,PushPop,2648191,2648191,2,16,20892,1305.8,1312.0,1247,1440,48.5,store_kvcache_kernel
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,5,10045,2009.0,1343.0,1248,4479,1392.3,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,3,4095,1365.0,1343.0,1312,1440,66.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
:nanovllm.run_model_prefill,PushPop,2648191,2648191,3,3,3200,1066.7,1024.0,1024,1152,73.9,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
:nanovllm.run_model_prefill,PushPop,2648191,2648191,1,1,3040,3040.0,3040.0,3040,3040,0.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
:nanovllm.sample,PushPop,2648191,2648191,48,48,314098,6543.7,7438.5,3903,7774,1368.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
:nanovllm.sample,PushPop,2648191,2648191,1,1,8030,8030.0,8030.0,8030,8030,0.0,triton_red_fused__softmax__to_copy_amax_argmax_clamp_min_div_exponential_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_0
:nanovllm.sample,PushPop,2648191,2648191,1,1,1471,1471.0,1471.0,1471,1471,0.0,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned long, (int)2, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 1)], void at::native::<unnamed>::distribution_nullary_kernel<long, unsigned long, ulonglong2, at::CUDAGeneratorImpl *, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 1)], void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(unsigned long) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, unsigned long) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
